Pensamento crítico
Trabalho em equipe
Agilidade
Iniciativa
Comunicação
Pensamento analítico
Curiosidade intelectual
Capacidade de adaptação
Inovação

Ajudar as pessoas
Austeridade
Autorrespeito
Respeito
Honestidade
Consciência Ecológica
Expertise
Carinho
Influência
Lealdade
Ética
Assertividade
Autenticidade
Harmonia
Competição
Sofisticação
Liderança
Amizade
Relacionamentos
Excitação
Responsabilidade
Independência
Integridade
Cooperação
Criatividade
Reconhecimento
Competência
Serenidade
Democracia
